,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000,decade
36163,tt0203022,226,226,1989,6/17/1989,"Action, Drama, War",114,Japan,Japanese,Hideo Gosha,Kazuo Kasahara,Shochiku-Fuji Company,"Ken'ichi Hagiwara, Tomokazu Miura, Masahiro Motoki, Katsutoshi Arata, Narimi Arimori, Shinsuke Ashida, Miwako Fujitani, Tamotsu Ishibashi, Guts Ishimatsu, Chikako Kaku, Nobuo Kaneko, Hiroshi Katsuno, Masaya KatÙ, Takeshi KatÙ, TakuzÙ Kawatani","Based on the """"2.26 Incident"""", an attempted coup d'Ètat in Japan 1936, launched by radical ultra-nationalist parts of the military. Several leading politicians were killed and the center of ...",6.5,142,NA,NA,NA,NA,NA,2,6.5,88.91028,650,1980 - 1990
45784,tt0416449,300,300,2006,3/23/2007,"Action, Drama",117,"USA, Canada, Bulgaria",English,Zack Snyder,"Zack Snyder, Kurt Johnstad",Warner Bros.,"Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan, Michael Fassbender, Tom Wisdom, Andrew Pleavin, Andrew Tiernan, Rodrigo Santoro, Giovani Cimmino, Stephen McHattie, Greg Kramer, Alex Ivanovici, Kelly Craig",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,7.6,722519,"$65,000,000 ","$210,614,939 ","$456,068,181 ",52,2188,468,7.6,110.9475,760,2000 - 2010
77687,tt5451118,303,303,2018,7/19/2018,"Comedy, Drama, Romance",145,Germany,"German, Portuguese, English, French, Spanish",Hans Weingartner,"Hans Weingartner, Silke Eggert",Kahuuna Films,"Mala Emde, Anton Spieker, Arndt Schwering-Sohnrey, Thomas Schmuckert, Jˆrg Bundschuh, Steven Lange, Martin Neuhaus, Hannah Schrˆder, Sophia Tschanett, Valeria Dymova","Two university students, Jule and Jan, leave Berlin together in an old camper on a road trip south, but for different reasons.",7.5,5179,NA,NA,"$351,216 ",NA,30,37,7.5,102.0436,750,2010 - 2020
55477,tt1212399,305,305,2008,3/7/2008,Comedy,84,USA,"English, Persian","Daniel Holechek, David Holechek","David Holechek, Brandon Tyra",Holechek Pictures,"Tim Larson, Brandon Tyra, David Leo Schultz, Ed Portillo, Sunny Peabody, Heaven Peabody, Les Jennings, Nathan Hopkins, B.J. Bales, Rene Scheys, Gregory Mortensen, Lisa Loven Kongsli, Bethany Lomas, Malani Coomes, David Holechek",A mockumentary detailing the five almost brave Spartans charged with guarding a goat path.,3.1,883,"$250,000 ",NA,NA,NA,15,15,3.1,42.96344,310,2000 - 2010
75657,tt4760656,316,316,2014,6/6/2015,"Drama, Fantasy, Romance",72,Iran,Persian,Payman Haghani,"Payman Haghani, Hamid-Reza Keshani",NA,Sara Vazirzadeh,An old lady goes down the memory lane. She narrates the story of her life mostly through the shoes of the people she remembers and the events of her country. She gives us the reasons why a ...,7.1,109,NA,NA,NA,NA,2,5,7.1,91.45425,710,2010 - 2020
31720,tt0124969,322,322,1969,10/9/1970,Drama,95,Czechoslovakia,Slovak,Dusan Han·k,"Dusan Han·k, J·n Johanides",Studio Hran˝ch Filmov Bratislava,"V·clav Lohnisk˝, Lucyna Winnicka, Josef Abrh·m, Miroslav Mach·cek, Frantisek Zvar‡≠k, Vladim‡≠r Weiser, Emil Horv·th St., Viktor Blaho, Jana Svandov·, Bozena SÈrov·, Marta Raslov·, Karel Augusta, Zdenek Blazek, Olga Chod·kov·, Milan Hrabinsk˝",A psychological drama of the illness of an individual and the illness of the society.,7,167,NA,NA,NA,NA,NA,2,7,98.7573,700,1960 - 1970
60778,tt1680045,Passioni e desideri,360,2011,6/20/2013,"Drama, Thriller",110,"UK, Austria, France, Canada, Brazil, USA","English, German, Arabic, French, Portuguese, Russian, Slovak",Fernando Meirelles,Peter Morgan,BBC Films,"Lucia Siposov·, Gabriela Marcinkov·, Johannes Krisch, Danica Jurcov·, Jude Law, Peter Morgan, Moritz Bleibtreu, Riann Steele, FranÁois-Xavier Demaison, Jamel Debbouze, Dinara Drukarova, Vladimir Vdovichenkov, Patty Hannock, Djemel Barek, Rachel Weisz",A dramatic thriller that weaves together the stories of an array of people from disparate social backgrounds through their intersecting relationships.,6.2,15708,NA,"$100,343 ","$4,396,975 ",43,43,142,6.2,88.64867,620,2010 - 2020
75975,tt4861048,411,411,2015,7/15/2015,Action,88,USA,English,Valentine,Valentine,Pub CO 1,"Valentine, Jennifer Copeland, Neb Chupin, Amedeo Falgiatore, Mark Hunt, Steve Berke, Rico Fidel, Alfredo Covalchuk, Joe Benel, Faical Elkihel, Sky Palma, Jim Sweet, Bob Schenkel, Rob Batie, Robert Gilbert",A female CIA operative seduces a bounty hunter to protect her undercover Interpol partner/boyfriend who's infiltrated an Al Qaeda terrorist cell in Miami and has a bounty on his head.,5.9,175,"$250,000 ",NA,NA,NA,NA,NA,5.9,81.75443,590,2010 - 2020
11733,tt0057810,490 pi˘ 1 = 491,491,1964,1968,"Crime, Drama",110,Sweden,Swedish,Vilgot Sjˆman,"Lars Gˆrling, Lars Gˆrling",Svensk Filmindustri (SF),"Lars Lind, Leif Nymark, Stig Tˆrnblom, Lars Hansson, Sven Algotsson, Torleif Cederstrand, Bo Andersson, Lena Nyman, Frank Sundstrˆm, ≈ke Grˆnberg, Mona Andersson, Jan Blomberg, Siegfried Wald, Willem Fricke, Erik Hell","Six youth criminals are chosen to participate in a social experiment, named """"Guesthouse Objectivity"""" (Pensionatet Sakligheten), where they are assigned to live together in an apartment ...",5.6,295,NA,NA,NA,NA,3,5,5.6,79.66445359,560,1960 - 1970
61758,tt1764141,678,678,2010,12/22/2010,Drama,100,Egypt,Arabic,Mohamed Diab,Mohamed Diab,New Century Production,"Nelly Karim, Bushra, Maged El-Kidwani, Bassem Samra, Nahed El SebaÔ, Ahmad El-Fishawi, Sawsan Badr, Omar El Saeed, Yara Gubran, Marwa Mahran, Motaz El Demerdash, Fify El Sebaay, Aly Mourad, Mohammed Aly Rizk, Ibrahim Salah",Unfolds the poignant story of three women and their search for justice from the daily plight of sexual harassment in Egypt.,7.5,3814,NA,NA,"$669,933 ",NA,10,38,7.5,109.1091,750,2010 - 2020
85432,tt9390026,706,706,2019,1/11/2019,Thriller,120,India,Hindi,Shravan Kumar,Shravan Kumar,Pramukh Films Production House,"Mohan Agashe, Raayo S. Bakhirta, Divya Dutta, Narendra Joshi, Nirali Joshi, Greeva Kansara, Atul Kulkarni, Atul Lakhia, Kamini Patel, Rajiv Pathak, Hetal Rathod, Yashvit Sancheti, Anupam Shyam, Archana Trivedi","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",5.3,368,NA,NA,NA,NA,12,NA,5.3,75.26344,530,2010 - 2020
